Session,Unit,Nonswimmer,Beginner,Swimmer,Total,Notes
Session 1,Ash,6,7,6,19,Counts from buddy board at first rotation
Session 1,Birch,2,6,6,14,Counts from buddy board at first rotation
Session 1,Cedar,5,8,5,18,Counts from buddy board at first rotation
Session 1,Dogwood,3,6,6,15,Counts from buddy board at first rotation
Session 1,Elm,4,8,8,20,Counts from buddy board at first rotation
Session 1,Fir,6,5,9,20,Counts from buddy board at first rotation
Session 1,Glen,5,7,6,18,Counts from buddy board at first rotation
Session 1,Hemlock,2,8,6,16,Counts from buddy board at first rotation
Session 1,Ironwood,5,4,5,14,Counts from buddy board at first rotation
Session 1,Juniper,4,8,7,19,Counts from buddy board at first rotation
Session 1,Laurel,6,6,7,19,Counts from buddy board at first rotation
Session 1,Maple,4,6,6,16,Counts from buddy board at first rotation
Session 1,Oak,2,6,9,17,Counts from buddy board at first rotation
Session 1,Pine,2,6,5,13,Counts from buddy board at first rotation
Session 1,Sumac,3,5,9,17,Counts from buddy board at first rotation
Session 1,Willow,2,8,7,17,Counts from buddy board at first rotation
Session 2,Ash,3,5,5,13,Counts from buddy board at first rotation
Session 2,Birch,6,5,8,19,Counts from buddy board at first rotation
Session 2,Cedar,3,5,7,15,Counts from buddy board at first rotation
Session 2,Dogwood,3,7,8,18,Counts from buddy board at first rotation
Session 2,Elm,5,5,7,17,Counts from buddy board at first rotation
Session 2,Fir,6,7,6,19,Counts from buddy board at first rotation
Session 2,Glen,2,6,6,14,Counts from buddy board at first rotation
Session 2,Hemlock,3,4,6,13,Counts from buddy board at first rotation
Session 2,Ironwood,2,4,5,11,Counts from buddy board at first rotation
Session 2,Juniper,4,7,8,19,Counts from buddy board at first rotation
Session 2,Laurel,4,6,7,17,Counts from buddy board at first rotation
Session 2,Maple,5,4,7,16,Counts from buddy board at first rotation
Session 2,Oak,4,8,8,20,Counts from buddy board at first rotation
Session 2,Pine,6,8,5,19,Counts from buddy board at first rotation
Session 2,Sumac,5,4,5,14,Counts from buddy board at first rotation
Session 2,Willow,6,8,8,22,Counts from buddy board at first rotation
Session 3,Ash,3,7,5,15,Counts from buddy board at first rotation
Session 3,Birch,2,5,8,15,Counts from buddy board at first rotation
Session 3,Cedar,4,6,7,17,Counts from buddy board at first rotation
Session 3,Dogwood,2,6,5,13,Counts from buddy board at first rotation
Session 3,Elm,3,7,7,17,Counts from buddy board at first rotation
Session 3,Fir,6,7,8,21,Counts from buddy board at first rotation
Session 3,Glen,3,6,9,18,Counts from buddy board at first rotation
Session 3,Hemlock,5,7,5,17,Counts from buddy board at first rotation
Session 3,Ironwood,6,7,6,19,Counts from buddy board at first rotation
Session 3,Juniper,5,4,8,17,Counts from buddy board at first rotation
Session 3,Laurel,6,7,9,22,Counts from buddy board at first rotation
Session 3,Maple,2,6,7,15,Counts from buddy board at first rotation
Session 3,Oak,3,7,6,16,Counts from buddy board at first rotation
Session 3,Pine,5,6,8,19,Counts from buddy board at first rotation
Session 3,Sumac,5,6,9,20,Counts from buddy board at first rotation
Session 3,Willow,4,6,5,15,Counts from buddy board at first rotation
