Credential Code,Credential Name,Issuing Body,Validity (months),Minimum Age,Track,Renewal Pathway,Notes
LG-DW,Lifeguarding (Including Deep Water) with CPR/AED for Professional Rescuers and First Aid,American Red Cross,24,15,Guard,Lifeguarding Recertification (instructor-led or blended); 30-day grace,Note: CPR/AED components embedded in lifeguarding training track at 12 months.
LG-SW,Shallow Water Lifeguarding,American Red Cross,24,15,Guard,Lifeguarding Recertification (instructor-led or blended); 30-day grace,Note: CPR/AED components embedded in lifeguarding training track at 12 months.
LG-AA,Aquatic Attraction Lifeguarding,American Red Cross,24,15,Guard,Lifeguarding Recertification (instructor-led or blended); 30-day grace,Note: CPR/AED components embedded in lifeguarding training track at 12 months.
LG-WP,Waterpark Skills Lifeguarding,American Red Cross,24,15,Guard,Lifeguarding Recertification (instructor-led or blended); 30-day grace,Note: CPR/AED components embedded in lifeguarding training track at 12 months.
LG-WF,Waterfront Skills Lifeguarding,American Red Cross,24,15,Guard,Lifeguarding Recertification (instructor-led or blended); 30-day grace,Note: CPR/AED components embedded in lifeguarding training track at 12 months.
CPR-PR,CPR/AED for Professional Rescuers,American Red Cross,24,15,Safety,Standalone renewal; no grace,Note: CPR/AED components embedded in lifeguarding training track at 12 months.
BBP,Bloodborne Pathogens Training,American Red Cross,12,15,Safety,Annual refresher; no grace,Note: CPR/AED components embedded in lifeguarding training track at 12 months.
WSI,Water Safety Instructor,American Red Cross,24,16,Instructor,Instructor recertification course,Note: CPR/AED components embedded in lifeguarding training track at 12 months.
LGI,Lifeguarding Instructor,American Red Cross,24,17,Instructor,Instructor recertification course,Note: CPR/AED components embedded in lifeguarding training track at 12 months.
FA-BASIC,First Aid,American Red Cross,24,15,Safety,First aid renewal course,Note: CPR/AED components embedded in lifeguarding training track at 12 months.
SCSC,Safety Training for Swim Coaches,American Red Cross,24,16,Instructor,Coach recertification,Note: CPR/AED components embedded in lifeguarding training track at 12 months.
ALA-LG,Lifeguard/First Aid/CPR/AED,American Lifeguard Association,24,15,Guard,ALA renewal course,Note: CPR/AED components embedded in lifeguarding training track at 12 months.
USLA-OW,Open Water Lifeguard Certification,United States Lifesaving Association,12,16,Guard,Annual open-water recertification,Note: CPR/AED components embedded in lifeguarding training track at 12 months.
AQS,Aquatics Supervisor Certificate,Aldervale Recreation and Parks Association,24,18,Supervisor,Association renewal course,Note: CPR/AED components embedded in lifeguarding training track at 12 months.
