Date,Time,Site,Free Chlorine (ppm),pH,Combined Chlorine (ppm),Cyanuric Acid (ppm),Total Alkalinity (ppm),Water Temp (F),Air Temp (F),Weather,Tested By,Action Taken,Notes
2026-06-08,7:00 AM,Otter Run,3.1,7.3,0.0,38.0,116.0,75.0,81.0,Clear,R.W.,,
2026-06-08,12:30 PM,Otter Run,2.9,7.5,0.3,49.0,118.0,75.0,67.0,Clear,C.Y.,,Heavy bather load.
2026-06-09,7:00 AM,Otter Run,3.5,7.6,0.1,45.0,91.0,76.0,83.0,Clear,D.L.,"High FC after shock; area held, retest within 2 hrs.",Rain overnight.
2026-06-09,12:30 PM,Otter Run,1.7,7.4,0.1,41.0,107.0,74.0,74.0,Clear,J.K.,,
2026-06-10,7:00 AM,Otter Run,1.5,7.6,0.3,47.0,107.0,83.0,79.0,Clear,D.L.,,
2026-06-10,12:30 PM,Otter Run,3.0,7.7,0.3,48.0,104.0,80.0,89.0,Clear,R.W.,,
2026-06-11,7:00 AM,Otter Run,2.9,7.3,0.0,46.0,101.0,76.0,83.0,Clear,D.L.,,Rain ovrenight.
2026-06-11,12:30 PM,Otter Run,2.0,7.3,0.1,37.0,102.0,75.0,70.0,Overcast,M.D.,,Rain ovenright.
2026-06-12,7:00 AM,Otter Run,3.1,7.4,0.0,50.0,85.0,82.0,80.0,Rain,J.K.,,
2026-06-12,12:30 PM,Otter Run,3.2,7.7,0.2,41.0,89.0,81.0,91.0,Overcast,R.W.,,
2026-06-13,7:00 AM,Otter Run,3.1,7.3,0.2,38.0,93.0,74.0,78.0,Clear,A.P.,,Rain overnight.
2026-06-13,12:30 PM,Otter Run,1.3,7.4,0.2,34.0,117.0,82.0,71.0,Clear,A.P.,Fed sodium hypochlorite 0.5 gal; retest 30 min.,
2026-06-15,7:00 AM,Otter Run,2.6,7.7,0.2,35.0,92.0,83.0,86.0,Clear,D.L.,,
2026-06-15,12:30 PM,Otter Run,2.3,7.6,0.1,46.0,91.0,80.0,75.0,Overcast,C.Y.,,Filter backwashed.
2026-06-16,7:00 AM,Otter Run,2.5,7.8,0.3,42.0,97.0,78.0,80.0,Clear,C.Y.,,
