Date,Equipment,Frequency,Result,Checked By,Notes
2026-06-08,Reaching pole (shepherd's crook),Daily,Pass,D.L.,
2026-06-08,Ring buoy with throwing rope,Daily,Pass,C.Y.,
2026-06-08,Water test kit (all required tests),Daily,Pass,C.Y.,
2026-06-08,Rescue tube / rescue buoy,Daily,Pass,R.W.,
2026-06-08,Emergency phone / call box,Weekly,Pass,C.Y.,
2026-06-08,Complete first aid kit,Weekly,Pass,C.Y.,
2026-06-08,Backboard with straps and head immobilizer,Weekly,Pass,R.W.,
2026-06-08,Resuscitation mask / BVM,Weekly,Pass,C.Y.,
2026-06-09,Reaching pole (shepherd's crook),Daily,Pass,D.L.,
2026-06-09,Ring buoy with throwing rope,Daily,Pass,C.Y.,
2026-06-09,Water test kit (all required tests),Daily,Pass,D.L.,
2026-06-09,Rescue tube / rescue buoy,Daily,Pass,D.L.,
2026-06-10,Reaching pole (shepherd's crook),Daily,Pass,M.D.,
2026-06-10,Ring buoy with throwing rope,Daily,Pass,R.W.,
2026-06-10,Water test kit (all required tests),Daily,Pass,D.L.,
2026-06-10,Rescue tube / rescue buoy,Daily,Pass,C.Y.,
2026-06-11,Reaching pole (shepherd's crook),Daily,Pass,C.Y.,
2026-06-11,Ring buoy with throwing rope,Daily,Pass,M.D.,
2026-06-11,Water test kit (all required tests),Daily,Pass,C.Y.,
2026-06-11,Rescue tube / rescue buoy,Daily,Pass,C.Y.,
2026-06-12,Reaching pole (shepherd's crook),Daily,Pass,C.Y.,
2026-06-12,Ring buoy with throwing rope,Daily,Pass,R.W.,
2026-06-12,Water test kit (all required tests),Daily,Pass,A.P.,
2026-06-12,Rescue tube / rescue buoy,Daily,Pass,M.D.,
2026-06-13,Reaching pole (shepherd's crook),Daily,Pass,M.D.,
2026-06-13,Ring buoy with throwing rope,Daily,Pass,M.D.,
2026-06-13,Water test kit (all required tests),Daily,Pass,M.D.,
2026-06-13,Rescue tube / rescue buoy,Daily,Pass,C.Y.,
2026-06-15,Reaching pole (shepherd's crook),Daily,Pass,M.D.,
2026-06-15,Ring buoy with throwing rope,Daily,Pass,R.W.,
2026-06-15,Water test kit (all required tests),Daily,Pass,M.D.,
2026-06-15,Rescue tube / rescue buoy,Daily,Pass,A.P.,
2026-06-15,Emergency phone / call box,Weekly,Pass,M.D.,
2026-06-15,Complete first aid kit,Weekly,Pass,C.Y.,Rope fraying; replaced from stock.
2026-06-15,Backboard with straps and head immobilizer,Weekly,Pass,R.W.,
2026-06-15,Resuscitation mask / BVM,Weekly,Pass,A.P.,
2026-06-16,Reaching pole (shepherd's crook),Daily,Pass,D.L.,
2026-06-16,Ring buoy with throwing rope,Daily,Pass,R.W.,
2026-06-16,Water test kit (all required tests),Daily,Pass,R.W.,
2026-06-16,Rescue tube / rescue buoy,Daily,Pass,M.D.,
2026-06-17,Reaching pole (shepherd's crook),Daily,Pass,M.D.,
2026-06-17,Ring buoy with throwing rope,Daily,Pass,M.D.,
2026-06-17,Water test kit (all required tests),Daily,Pass,A.P.,
2026-06-17,Rescue tube / rescue buoy,Daily,Pass,C.Y.,
2026-06-18,Reaching pole (shepherd's crook),Daily,Pass,C.Y.,
2026-06-18,Ring buoy with throwing rope,Daily,Pass,A.P.,
2026-06-18,Water test kit (all required tests),Daily,Pass,D.L.,
2026-06-18,Rescue tube / rescue buoy,Daily,Pass,R.W.,
2026-06-19,Reaching pole (shepherd's crook),Daily,Pass,M.D.,
2026-06-19,Ring buoy with throwing rope,Daily,Pass,C.Y.,
2026-06-19,Water test kit (all required tests),Daily,Pass,D.L.,
2026-06-19,Rescue tube / rescue buoy,Daily,Pass,M.D.,
2026-06-20,Reaching pole (shepherd's crook),Daily,Pass,R.W.,
2026-06-20,Ring buoy with throwing rope,Daily,Pass,A.P.,
2026-06-20,Water test kit (all required tests),Daily,Pass,A.P.,
2026-06-20,Rescue tube / rescue buoy,Daily,Pass,A.P.,
2026-06-22,Reaching pole (shepherd's crook),Daily,Pass,M.D.,
2026-06-22,Ring buoy with throwing rope,Daily,Pass,R.W.,
2026-06-22,Water test kit (all required tests),Daily,Pass,M.D.,
2026-06-22,Rescue tube / rescue buoy,Daily,Pass,R.W.,
2026-06-22,Emergency phone / call box,Weekly,Pass,C.Y.,
2026-06-22,Complete first aid kit,Weekly,Pass,R.W.,
2026-06-22,Backboard with straps and head immobilizer,Weekly,Pass,D.L.,
2026-06-22,Resuscitation mask / BVM,Weekly,Pass,M.D.,
2026-06-23,Reaching pole (shepherd's crook),Daily,Pass,M.D.,
2026-06-23,Ring buoy with throwing rope,Daily,Pass,D.L.,
2026-06-23,Water test kit (all required tests),Daily,Pass,M.D.,
2026-06-23,Rescue tube / rescue buoy,Daily,Pass,M.D.,
2026-06-24,Reaching pole (shepherd's crook),Daily,Pass,D.L.,
2026-06-24,Ring buoy with throwing rope,Daily,Pass,M.D.,
2026-06-24,Water test kit (all required tests),Daily,Pass,R.W.,
2026-06-24,Rescue tube / rescue buoy,Daily,Pass,A.P.,
2026-06-25,Reaching pole (shepherd's crook),Daily,Pass,M.D.,
2026-06-25,Ring buoy with throwing rope,Daily,Pass,D.L.,
2026-06-25,Water test kit (all required tests),Daily,Pass,C.Y.,
2026-06-25,Rescue tube / rescue buoy,Daily,Pass,R.W.,
2026-06-26,Reaching pole (shepherd's crook),Daily,Pass,A.P.,
2026-06-26,Ring buoy with throwing rope,Daily,Pass,C.Y.,
2026-06-26,Water test kit (all required tests),Daily,Pass,M.D.,
2026-06-26,Rescue tube / rescue buoy,Daily,Pass,M.D.,
2026-06-27,Reaching pole (shepherd's crook),Daily,Pass,A.P.,
2026-06-27,Ring buoy with throwing rope,Daily,Pass,R.W.,
2026-06-27,Water test kit (all required tests),Daily,Pass,C.Y.,
2026-06-27,Rescue tube / rescue buoy,Daily,Pass,D.L.,
2026-06-29,Reaching pole (shepherd's crook),Daily,Pass,A.P.,
2026-06-29,Ring buoy with throwing rope,Daily,Pass,D.L.,
2026-06-29,Water test kit (all required tests),Daily,Pass,C.Y.,
2026-06-29,Rescue tube / rescue buoy,Daily,Pass,A.P.,
2026-06-29,Emergency phone / call box,Weekly,Pass,C.Y.,
2026-06-29,Complete first aid kit,Weekly,Pass,A.P.,
2026-06-29,Backboard with straps and head immobilizer,Weekly,Pass,M.D.,
2026-06-29,Resuscitation mask / BVM,Weekly,Pass,A.P.,
2026-06-30,Reaching pole (shepherd's crook),Daily,Pass,C.Y.,
2026-06-30,Ring buoy with throwing rope,Daily,Pass,M.D.,
2026-06-30,Water test kit (all required tests),Daily,Pass,C.Y.,
2026-06-30,Rescue tube / rescue buoy,Daily,Pass,D.L.,
2026-07-01,Reaching pole (shepherd's crook),Daily,Pass,M.D.,
2026-07-01,Ring buoy with throwing rope,Daily,Pass,A.P.,
2026-07-01,Water test kit (all required tests),Daily,Pass,C.Y.,
2026-07-01,Rescue tube / rescue buoy,Daily,Pass,M.D.,
2026-07-01,AED,Monthly,Pass - pads in date,C.Y.,
2026-07-02,Reaching pole (shepherd's crook),Daily,Pass,C.Y.,
2026-07-02,Ring buoy with throwing rope,Daily,Pass,R.W.,
2026-07-02,Water test kit (all required tests),Daily,Pass,C.Y.,
2026-07-02,Rescue tube / rescue buoy,Daily,Pass,M.D.,
2026-07-03,Reaching pole (shepherd's crook),Daily,Pass,M.D.,
2026-07-03,Ring buoy with throwing rope,Daily,Pass,A.P.,
2026-07-03,Water test kit (all required tests),Daily,Pass,D.L.,
2026-07-03,Rescue tube / rescue buoy,Daily,Pass,C.Y.,
2026-07-04,Reaching pole (shepherd's crook),Daily,Pass,M.D.,
2026-07-04,Ring buoy with throwing rope,Daily,Pass,M.D.,
2026-07-04,Water test kit (all required tests),Daily,Pass,C.Y.,
2026-07-04,Rescue tube / rescue buoy,Daily,Pass,C.Y.,
2026-07-06,Reaching pole (shepherd's crook),Daily,Pass,R.W.,
2026-07-06,Ring buoy with throwing rope,Daily,Pass,D.L.,
2026-07-06,Water test kit (all required tests),Daily,Pass,A.P.,
2026-07-06,Rescue tube / rescue buoy,Daily,Pass,R.W.,
2026-07-06,Emergency phone / call box,Weekly,Pass,A.P.,
2026-07-06,Complete first aid kit,Weekly,Pass,M.D.,
2026-07-06,Backboard with straps and head immobilizer,Weekly,Pass,M.D.,
2026-07-06,Resuscitation mask / BVM,Weekly,Pass,D.L.,
2026-07-07,Reaching pole (shepherd's crook),Daily,Pass,A.P.,
2026-07-07,Ring buoy with throwing rope,Daily,Pass,A.P.,
2026-07-07,Water test kit (all required tests),Daily,Pass,R.W.,
2026-07-07,Rescue tube / rescue buoy,Daily,Pass,D.L.,
2026-07-08,Reaching pole (shepherd's crook),Daily,Pass,A.P.,
2026-07-08,Ring buoy with throwing rope,Daily,Pass,A.P.,
2026-07-08,Water test kit (all required tests),Daily,Pass,C.Y.,
2026-07-08,Rescue tube / rescue buoy,Daily,Pass,R.W.,
2026-07-09,Reaching pole (shepherd's crook),Daily,Pass,M.D.,
2026-07-09,Ring buoy with throwing rope,Daily,Pass,D.L.,
2026-07-09,Water test kit (all required tests),Daily,Pass,C.Y.,
2026-07-09,Rescue tube / rescue buoy,Daily,Pass,R.W.,
2026-07-10,Reaching pole (shepherd's crook),Daily,Pass,M.D.,
2026-07-10,Ring buoy with throwing rope,Daily,Pass,C.Y.,
2026-07-10,Water test kit (all required tests),Daily,Pass,R.W.,
2026-07-10,Rescue tube / rescue buoy,Daily,Pass,D.L.,
2026-07-11,Reaching pole (shepherd's crook),Daily,Pass,C.Y.,
2026-07-11,Ring buoy with throwing rope,Daily,Pass,M.D.,
2026-07-11,Water test kit (all required tests),Daily,Pass,C.Y.,
2026-07-11,Rescue tube / rescue buoy,Daily,Pass,C.Y.,
2026-07-13,Reaching pole (shepherd's crook),Daily,Pass,D.L.,
2026-07-13,Ring buoy with throwing rope,Daily,Pass,R.W.,
2026-07-13,Water test kit (all required tests),Daily,Pass,R.W.,
2026-07-13,Rescue tube / rescue buoy,Daily,Pass,C.Y.,
2026-07-13,Emergency phone / call box,Weekly,Pass,C.Y.,
2026-07-13,Complete first aid kit,Weekly,Pass,R.W.,Rope fraying; replaced from stock.
2026-07-13,Backboard with straps and head immobilizer,Weekly,Pass,R.W.,
2026-07-13,Resuscitation mask / BVM,Weekly,Pass,M.D.,
2026-07-14,Reaching pole (shepherd's crook),Daily,Pass,R.W.,
2026-07-14,Ring buoy with throwing rope,Daily,Pass,M.D.,
2026-07-14,Water test kit (all required tests),Daily,Pass,D.L.,
2026-07-14,Rescue tube / rescue buoy,Daily,Pass,A.P.,
2026-07-15,Reaching pole (shepherd's crook),Daily,Pass,C.Y.,
2026-07-15,Ring buoy with throwing rope,Daily,Pass,R.W.,
2026-07-15,Water test kit (all required tests),Daily,Pass,A.P.,
2026-07-15,Rescue tube / rescue buoy,Daily,Pass,D.L.,
2026-07-16,Reaching pole (shepherd's crook),Daily,Pass,C.Y.,
2026-07-16,Ring buoy with throwing rope,Daily,Pass,A.P.,
2026-07-16,Water test kit (all required tests),Daily,Pass,C.Y.,
2026-07-16,Rescue tube / rescue buoy,Daily,Pass,R.W.,
2026-07-17,Reaching pole (shepherd's crook),Daily,Pass,D.L.,
2026-07-17,Ring buoy with throwing rope,Daily,Pass,M.D.,
2026-07-17,Water test kit (all required tests),Daily,Pass,R.W.,
2026-07-17,Rescue tube / rescue buoy,Daily,Pass,M.D.,
2026-07-18,Reaching pole (shepherd's crook),Daily,Pass,D.L.,
2026-07-18,Ring buoy with throwing rope,Daily,Pass,D.L.,
2026-07-18,Water test kit (all required tests),Daily,Pass,D.L.,
2026-07-18,Rescue tube / rescue buoy,Daily,Pass,D.L.,
2026-07-20,Reaching pole (shepherd's crook),Daily,Pass,A.P.,
2026-07-20,Ring buoy with throwing rope,Daily,Pass,A.P.,
2026-07-20,Water test kit (all required tests),Daily,Pass,M.D.,
2026-07-20,Rescue tube / rescue buoy,Daily,Pass,A.P.,
2026-07-20,Emergency phone / call box,Weekly,Pass,D.L.,
2026-07-20,Complete first aid kit,Weekly,Pass,C.Y.,
2026-07-20,Backboard with straps and head immobilizer,Weekly,Pass,D.L.,
2026-07-20,Resuscitation mask / BVM,Weekly,Pass,C.Y.,Rope fraying; replaced from stock.
2026-07-21,Reaching pole (shepherd's crook),Daily,Pass,R.W.,
2026-07-21,Ring buoy with throwing rope,Daily,Pass,C.Y.,
2026-07-21,Water test kit (all required tests),Daily,Pass,M.D.,
2026-07-21,Rescue tube / rescue buoy,Daily,Pass,M.D.,
2026-07-22,Reaching pole (shepherd's crook),Daily,Pass,R.W.,
2026-07-22,Ring buoy with throwing rope,Daily,Pass,D.L.,
2026-07-22,Water test kit (all required tests),Daily,Pass,A.P.,
2026-07-22,Rescue tube / rescue buoy,Daily,Pass,M.D.,
2026-07-23,Reaching pole (shepherd's crook),Daily,Pass,C.Y.,
2026-07-23,Ring buoy with throwing rope,Daily,Pass,C.Y.,
2026-07-23,Water test kit (all required tests),Daily,Pass,A.P.,
2026-07-23,Rescue tube / rescue buoy,Daily,Pass,R.W.,
2026-07-24,Reaching pole (shepherd's crook),Daily,Pass,M.D.,
2026-07-24,Ring buoy with throwing rope,Daily,Pass,A.P.,
2026-07-24,Water test kit (all required tests),Daily,Pass,M.D.,
2026-07-24,Rescue tube / rescue buoy,Daily,Pass,D.L.,
2026-07-25,Reaching pole (shepherd's crook),Daily,Pass,C.Y.,
2026-07-25,Ring buoy with throwing rope,Daily,Pass,C.Y.,
2026-07-25,Water test kit (all required tests),Daily,Pass,R.W.,
2026-07-25,Rescue tube / rescue buoy,Daily,Pass,M.D.,
2026-07-27,Reaching pole (shepherd's crook),Daily,Pass,D.L.,
2026-07-27,Ring buoy with throwing rope,Daily,Pass,C.Y.,
2026-07-27,Water test kit (all required tests),Daily,Pass,D.L.,
2026-07-27,Rescue tube / rescue buoy,Daily,Pass,R.W.,
2026-07-27,Emergency phone / call box,Weekly,Pass,M.D.,
2026-07-27,Complete first aid kit,Weekly,Pass,M.D.,
2026-07-27,Backboard with straps and head immobilizer,Weekly,Pass,A.P.,
2026-07-27,Resuscitation mask / BVM,Weekly,Pass,C.Y.,
2026-07-28,Reaching pole (shepherd's crook),Daily,Pass,C.Y.,
2026-07-28,Ring buoy with throwing rope,Daily,Pass,C.Y.,
2026-07-28,Water test kit (all required tests),Daily,Pass,R.W.,
2026-07-28,Rescue tube / rescue buoy,Daily,Pass,C.Y.,
2026-07-29,Reaching pole (shepherd's crook),Daily,Pass,R.W.,
2026-07-29,Ring buoy with throwing rope,Daily,Pass,R.W.,
2026-07-29,Water test kit (all required tests),Daily,Pass,A.P.,
2026-07-29,Rescue tube / rescue buoy,Daily,Pass,D.L.,
2026-07-30,Reaching pole (shepherd's crook),Daily,Pass,C.Y.,
2026-07-30,Ring buoy with throwing rope,Daily,Pass,M.D.,
2026-07-30,Water test kit (all required tests),Daily,Pass,A.P.,
2026-07-30,Rescue tube / rescue buoy,Daily,Pass,C.Y.,
2026-07-31,Reaching pole (shepherd's crook),Daily,Pass,D.L.,
2026-07-31,Ring buoy with throwing rope,Daily,Pass,M.D.,
2026-07-31,Water test kit (all required tests),Daily,Pass,C.Y.,
2026-07-31,Rescue tube / rescue buoy,Daily,Pass,D.L.,
2026-08-01,Reaching pole (shepherd's crook),Daily,Pass,R.W.,
2026-08-01,Ring buoy with throwing rope,Daily,Pass,A.P.,
2026-08-01,Water test kit (all required tests),Daily,Pass,A.P.,
2026-08-01,Rescue tube / rescue buoy,Daily,Pass,C.Y.,
2026-08-01,AED,Monthly,Pass - pads in date,D.L.,
2026-08-03,Reaching pole (shepherd's crook),Daily,Pass,D.L.,
2026-08-03,Ring buoy with throwing rope,Daily,Pass,D.L.,
2026-08-03,Water test kit (all required tests),Daily,Pass,R.W.,
2026-08-03,Rescue tube / rescue buoy,Daily,Pass,M.D.,
2026-08-03,Emergency phone / call box,Weekly,Pass,R.W.,
2026-08-03,Complete first aid kit,Weekly,Pass,C.Y.,
2026-08-03,Backboard with straps and head immobilizer,Weekly,Pass,D.L.,
2026-08-03,Resuscitation mask / BVM,Weekly,Pass,D.L.,Rope fraying; replaced from stock.
2026-08-04,Reaching pole (shepherd's crook),Daily,Pass,A.P.,
2026-08-04,Ring buoy with throwing rope,Daily,Pass,A.P.,
2026-08-04,Water test kit (all required tests),Daily,Pass,R.W.,
2026-08-04,Rescue tube / rescue buoy,Daily,Pass,A.P.,
2026-08-05,Reaching pole (shepherd's crook),Daily,Pass,M.D.,
2026-08-05,Ring buoy with throwing rope,Daily,Pass,C.Y.,
2026-08-05,Water test kit (all required tests),Daily,Pass,D.L.,
2026-08-05,Rescue tube / rescue buoy,Daily,Pass,R.W.,
2026-08-06,Reaching pole (shepherd's crook),Daily,Pass,M.D.,
2026-08-06,Ring buoy with throwing rope,Daily,Pass,R.W.,
2026-08-06,Water test kit (all required tests),Daily,Pass,D.L.,
2026-08-06,Rescue tube / rescue buoy,Daily,Pass,R.W.,
2026-08-07,Reaching pole (shepherd's crook),Daily,Pass,R.W.,
2026-08-07,Ring buoy with throwing rope,Daily,Pass,C.Y.,
2026-08-07,Water test kit (all required tests),Daily,Pass,D.L.,
2026-08-07,Rescue tube / rescue buoy,Daily,Pass,C.Y.,
2026-08-08,Reaching pole (shepherd's crook),Daily,Pass,C.Y.,
2026-08-08,Ring buoy with throwing rope,Daily,Pass,M.D.,
2026-08-08,Water test kit (all required tests),Daily,Pass,M.D.,
2026-08-08,Rescue tube / rescue buoy,Daily,Pass,M.D.,
2026-08-10,Reaching pole (shepherd's crook),Daily,Pass,R.W.,
2026-08-10,Ring buoy with throwing rope,Daily,Pass,C.Y.,
2026-08-10,Water test kit (all required tests),Daily,Pass,M.D.,
2026-08-10,Rescue tube / rescue buoy,Daily,Pass,D.L.,
2026-08-10,Emergency phone / call box,Weekly,Pass,A.P.,
2026-08-10,Complete first aid kit,Weekly,Pass,M.D.,
2026-08-10,Backboard with straps and head immobilizer,Weekly,Pass,R.W.,Rope fraying; replaced from stock.
2026-08-10,Resuscitation mask / BVM,Weekly,Pass,M.D.,
2026-08-11,Reaching pole (shepherd's crook),Daily,Pass,D.L.,
2026-08-11,Ring buoy with throwing rope,Daily,Pass,M.D.,
2026-08-11,Water test kit (all required tests),Daily,Pass,R.W.,
2026-08-11,Rescue tube / rescue buoy,Daily,Pass,R.W.,
2026-08-12,Reaching pole (shepherd's crook),Daily,Pass,A.P.,
2026-08-12,Ring buoy with throwing rope,Daily,Pass,A.P.,
2026-08-12,Water test kit (all required tests),Daily,Pass,C.Y.,
2026-08-12,Rescue tube / rescue buoy,Daily,Pass,M.D.,
2026-08-13,Reaching pole (shepherd's crook),Daily,Pass,C.Y.,
2026-08-13,Ring buoy with throwing rope,Daily,Pass,D.L.,
2026-08-13,Water test kit (all required tests),Daily,Pass,C.Y.,
2026-08-13,Rescue tube / rescue buoy,Daily,Pass,D.L.,
2026-08-14,Reaching pole (shepherd's crook),Daily,Pass,D.L.,
2026-08-14,Ring buoy with throwing rope,Daily,Pass,A.P.,
2026-08-14,Water test kit (all required tests),Daily,Pass,C.Y.,
2026-08-14,Rescue tube / rescue buoy,Daily,Pass,R.W.,
