amendment_id,amendment_ts,applicant_id,field_code,field_label,old_value,new_value,workstation_id,source_document,requires_cert,counter_log_ref,notes
AMD-000001,2022-01-04,WL-01912,VESSEL_NAME,Vessel Name,SALISH MOON,SEAL ANN,HB-COUNTER-2,,N,day log 2022-01-04,
AMD-000002,2022-01-04,WL-02451,LOA,Length Overall (LOA),26.6,23.7,HB-COUNTER-2,,Y,day log 2022-01-04,
AMD-000003,2022-01-04,WL-02532,OFFICIAL_NUM,Official Number / Registration,583536,912469,HB-COUNTER-2,driver's license,N,day log 2022-01-04,
AMD-000004,2022-01-04,WL-03719,LOA,Length Overall (LOA),52.4,52.7,HB-COUNTER-2,,Y,day log 2022-01-04,
AMD-000005,2022-01-05,WL-01030,BEAM,Beam (Width),10.2,9.5,HB-COUNTER-2,check-in measurement 2022-01-05,Y,day log 2022-01-05,
AMD-000006,2022-01-05,WL-01279,HIN,Hull Identification Number,CHD93697R987,CHD31514J530,HB-COUNTER-2,,N,day log 2022-01-05,
AMD-000007,2022-01-05,WL-01327,YEAR_BUILT,Year Built,1970,1970,HB-COUNTER-2,owner declaration at counter,N,day log 2022-01-05,
AMD-000008,2022-01-06,WL-02766,VESSEL_NAME,Vessel Name,HALIBUT SONG,BRANT DANCER,HB-COUNTER-2,,N,day log 2022-01-06,
AMD-000009,2022-01-06,WL-03069,OWNER_NAME,Owner Name,POWER_STERNDRIVE,ALUMINUM,HB-COUNTER-2,insurance decl page,N,day log 2022-01-06,
AMD-000010,2022-01-08,WL-02223,VESSEL_NAME,Vessel Name,PINTAIL HARBOR,SCOTER ANN,HB-COUNTER-2,insurance decl page,N,day log 2022-01-08,
AMD-000011,2022-01-09,WL-02658,OFFICIAL_NUM,Official Number / Registration,600626,775543,HB-COUNTER-2,owner declaration at counter,N,day log 2022-01-09,
AMD-000012,2022-01-09,WL-02515,YEAR_BUILT,Year Built,2019,2019,HB-COUNTER-2,,N,day log 2022-01-09,
AMD-000013,2022-01-11,WL-02159,LOA,Length Overall (LOA),36.4,35.8,HB-COUNTER-2,,Y,day log 2022-01-11,
AMD-000014,2022-01-11,WL-03620,ENGINE_HP,Engine Horsepower,250,210,HB-COUNTER-2,registration,N,day log 2022-01-11,
AMD-000015,2022-01-12,WL-03233,OFFICIAL_NUM,Official Number / Registration,444197,531542,HB-COUNTER-2,insurance decl page,N,day log 2022-01-12,
AMD-000016,2022-01-13,WL-02963,PROPULSION_TYPE,Propulsion Type,SPORTFISH,CRUISER,HB-COUNTER-2,insurance decl page,N,day log 2022-01-13,
AMD-000017,2022-01-14,WL-03558,HULL_MATERIAL,Hull Material,CA,WOOD,HB-COUNTER-2,registration,N,day log 2022-01-14,
AMD-000018,2022-01-16,WL-03728,BUILD_LOCATION,Build Location / Yard,US,SPORTFISH,HB-COUNTER-2,bill of sale,N,day log 2022-01-16,
AMD-000019,2022-01-17,WL-03478,ENGINE_HP,Engine Horsepower,150,85,HB-COUNTER-2,driver's license,N,day log 2022-01-17,
AMD-000020,2022-01-19,WL-02811,LOA,Length Overall (LOA),54.2,51.3,HB-COUNTER-2,,Y,day log 2022-01-19,
AMD-000021,2022-01-19,WL-02251,NET_TONNAGE,Net Tonnage (NT),12.7,12.8,HB-COUNTER-2,,Y,day log 2022-01-19,
AMD-000022,2022-01-20,WL-01279,PROPULSION_TYPE,Propulsion Type,SPORTFISH,US,HB-COUNTER-2,,N,day log 2022-01-20,
AMD-000023,2022-01-20,WL-01770,ENGINE_HP,Engine Horsepower,330,330,HB-COUNTER-2,,N,day log 2022-01-20,
AMD-000024,2022-01-20,WL-02211,OWNER_NAME,Owner Name,POWER_STERNDRIVE,CRUISER,HB-COUNTER-2,registration,N,day log 2022-01-20,
AMD-000025,2022-01-21,WL-02564,OWNER_ADDRESS,Owner Address,"7770 Zachary Ville, Aberdeen, WA","8994 Roman Burgs, Aberdeen, WA",HB-COUNTER-2,insurance decl page,N,day log 2022-01-21,
AMD-000026,2022-01-21,WL-03090,HIN,Hull Identification Number,CHD81847K911,CHD99753P758,HB-COUNTER-2,driver's license,N,day log 2022-01-21,
AMD-000027,2022-01-23,WL-03837,FLAG,Flag State,ELECTRIC,POWER_INBOARD,HB-COUNTER-2,driver's license,N,day log 2022-01-23,
AMD-000028,2022-01-24,WL-03847,OWNER_NAME,Owner Name,WOOD,US,HB-COUNTER-2,bill of sale,N,day log 2022-01-24,
AMD-000029,2022-01-25,WL-02050,LOA,Length Overall (LOA),45.4,42.5,HB-COUNTER-2,,Y,day log 2022-01-25,
AMD-000030,2022-01-25,WL-03720,ENGINE_HP,Engine Horsepower,375,210,HB-COUNTER-2,owner declaration at counter,N,day log 2022-01-25,
AMD-000031,2022-01-26,WL-03436,ENGINE_MAKE,Engine Make / Model,SAIL_MONO,SAIL_MULTI,HB-COUNTER-2,registration,N,day log 2022-01-26,
AMD-000032,2022-01-26,WL-01762,YEAR_BUILT,Year Built,1971,1971,HB-COUNTER-2,,N,day log 2022-01-26,
