txn_id,post_date,account_id,applicant_id,slip_id,basin,rate_class,txn_type,length_ft_billed,months_billed,foot_months,rate_per_foot_month,amount,tax_amount,total_amount,payment_status,due_date,paid_date,notes
TXN-202201-006673,2022-01-01,AC-LP-0605,WL-01747,LP-0605,Ledgport,NON_COMM_MONTHLY,MONTHLY_MOORAGE,51,1,51,9.85,502.35,64.5,566.85,PAID,2022-01-15,2022-01-14,
TXN-202201-006674,2022-01-01,AC-LP-0605,WL-01747,LP-0605,Ledgport,NON_COMM_MONTHLY,ELECTRICITY,,,,,134.23,17.24,151.47,PAID,2022-01-15,2022-01-14,metered
TXN-202201-007178,2022-01-01,AC-LP-0612,WL-01625,LP-0612,Ledgport,NON_COMM_MONTHLY,MONTHLY_MOORAGE,32,1,32,9.85,315.2,40.47,355.67,PAID,2022-01-15,2022-01-11,
TXN-202201-007179,2022-01-01,AC-LP-0612,WL-01625,LP-0612,Ledgport,NON_COMM_MONTHLY,ELECTRICITY,,,,,117.42,15.08,132.5,PAID,2022-01-15,2022-01-11,metered
TXN-202201-007848,2022-01-01,AC-LP-0624,WL-02951,LP-0624,Ledgport,NON_COMM_MONTHLY,MONTHLY_MOORAGE,50,1,50,9.85,492.5,63.24,555.74,PAID,2022-01-15,2022-01-22,
TXN-202201-007849,2022-01-01,AC-LP-0624,WL-02951,LP-0624,Ledgport,NON_COMM_MONTHLY,ELECTRICITY,,,,,100.64,12.92,113.56,PAID,2022-01-15,2022-01-22,metered
TXN-202201-008152,2022-01-01,AC-LP-0704,WL-02092,LP-0704,Ledgport,NON_COMM_MONTHLY,MONTHLY_MOORAGE,53,1,53,9.85,522.05,67.03,589.08,OPEN,2022-01-15,,
TXN-202201-009918,2022-01-01,AC-LP-0812,WL-02511,LP-0812,Ledgport,NON_COMM_MONTHLY,MONTHLY_MOORAGE,28,1,28,9.85,275.8,35.41,311.21,PAID,2022-01-15,2022-01-23,
TXN-202201-009919,2022-01-01,AC-LP-0812,WL-02511,LP-0812,Ledgport,NON_COMM_MONTHLY,ELECTRICITY,,,,,29.39,3.77,33.16,PAID,2022-01-15,2022-01-23,metered
TXN-202201-010078,2022-01-01,AC-LP-0814,WL-02409,LP-0814,Ledgport,NON_COMM_MONTHLY,MONTHLY_MOORAGE,35,1,35,9.85,344.75,44.27,389.02,PAID,2022-01-15,2022-01-23,
TXN-202201-010079,2022-01-01,AC-LP-0814,WL-02409,LP-0814,Ledgport,NON_COMM_MONTHLY,ELECTRICITY,,,,,110.04,14.13,124.17,PAID,2022-01-15,2022-01-23,metered
TXN-202201-010485,2022-01-01,AC-LP-0820,WL-01109,LP-0820,Ledgport,NON_COMM_MONTHLY,MONTHLY_MOORAGE,44,1,44,9.85,433.4,55.65,489.05,PAID,2022-01-15,2022-01-16,
TXN-202201-012244,2022-01-01,AC-LP-1001,WL-03184,LP-1001,Ledgport,NON_COMM_MONTHLY,MONTHLY_MOORAGE,55,1,55,9.85,541.75,69.56,611.31,PAID,2022-01-15,2022-01-06,
TXN-202201-012245,2022-01-01,AC-LP-1001,WL-03184,LP-1001,Ledgport,NON_COMM_MONTHLY,ELECTRICITY,,,,,77.49,9.95,87.44,PAID,2022-01-15,2022-01-06,metered
TXN-202201-013322,2022-01-01,AC-LP-1021,WL-02827,LP-1021,Ledgport,NON_COMM_MONTHLY,MONTHLY_MOORAGE,37,1,37,9.85,364.45,46.8,411.25,PAID,2022-01-15,2022-01-26,
TXN-202201-013323,2022-01-01,AC-LP-1021,WL-02827,LP-1021,Ledgport,NON_COMM_MONTHLY,ELECTRICITY,,,,,44.3,5.69,49.99,PAID,2022-01-15,2022-01-26,metered
TXN-202201-015583,2022-01-01,AC-VB-0117,WL-01706,VB-0117,Vessbank,NON_COMM_MONTHLY,MONTHLY_MOORAGE,54,1,54,9.85,531.9,68.3,600.2,PAID,2022-01-15,2022-01-14,
TXN-202201-019870,2022-01-01,AC-VB-0419,WL-03884,VB-0419,Vessbank,NON_COMM_MONTHLY,MONTHLY_MOORAGE,33,1,33,9.85,325.05,41.74,366.79,PAID,2022-01-15,2022-01-04,
TXN-202201-019950,2022-01-01,AC-VB-0420,WL-01215,VB-0420,Vessbank,NON_COMM_MONTHLY,MONTHLY_MOORAGE,28,1,28,9.85,275.8,35.41,311.21,PAID,2022-01-15,2022-01-26,
TXN-202201-021835,2022-01-01,AC-VB-0607,WL-01590,VB-0607,Vessbank,NON_COMM_MONTHLY,MONTHLY_MOORAGE,36,1,36,9.85,354.6,45.53,400.13,PAID,2022-01-15,2022-01-05,
TXN-202201-021836,2022-01-01,AC-VB-0607,WL-01590,VB-0607,Vessbank,NON_COMM_MONTHLY,ELECTRICITY,,,,,123.36,15.84,139.2,PAID,2022-01-15,2022-01-05,metered
