"item_id","item_type","name","categories","date_created"
"1001","Wood Clamp","12 in. Ratcheting Bar Clamp","Clamps","2016-04-18T12:05:25.000"
"1002","Rubber Mallets","1 lb. Rubber Mallet","Carpentry & Woodworking","2016-04-18T12:47:59.000"
"1003","Slip Joint Pliers","8 pc Channel Lock Pliers","Material Handling","2016-04-18T13:32:24.000"
"1004","Lineman Plier","3 PC Lineman plier","Material Handling, Mechanical Tools","2016-04-18T13:55:07.000"
"1005","Flat Screwdriver","24 pc Flat Screwdriver","Floor & Wall, Material Handling, Mechanical Tools","2016-04-19T10:48:38.000"
"1006","Hack saw","Hack Saw","Carpentry & Woodworking, Floor & Wall","2016-04-19T11:17:56.000"
"1007","Extension Cords","50ft. 3-Head Extension Cord","Electrical","2016-04-19T11:48:51.000"
"1008","Phillips Screwdriver","10 pc Phillips Screwdriver","Carpentry & Woodworking, Material Handling, Mechanical Tools","2016-04-19T12:59:53.000"
"1009","Crescent Wrench","Crescent Wrench",,"2016-04-25T10:05:38.000"
"1010","Rulers","Aluminum Rafter Angle Square","Material Handling","2016-04-25T10:24:29.000"
"1011","Tape Measures","5PC Tape Measure","Carpentry & Woodworking, Floor & Wall, Material Handling","2016-04-25T10:49:06.000"
"1012","Pipe Wrenches","3pc Pipe Wrench","Carpentry & Woodworking, Material Handling","2016-04-25T11:08:00.000"
"1013","Ball Peen Hammers","2 pc Ball Peen Hammer","Carpentry & Woodworking, Floor & Wall","2016-04-25T11:22:42.000"
"1014","Loppers","Lopping Shears","Gardening & Digging","2016-04-25T12:15:16.000"
"1015","Claw Hammers","Claw Hammer","Carpentry & Woodworking, Floor & Wall","2016-04-25T13:05:35.000"
"1017","Levels","Electric Level","Carpentry & Woodworking, Floor & Wall","2016-04-25T13:42:19.000"
"1018","Tools","6 Gallon Wet/Dry Vacuum","Carpentry & Woodworking, Concrete & Masonry, Floor & Wall, Material Handling","2016-06-28T09:31:47.000"
"1019","Pliers, Cutters, and Snips","36 inch bolt cutters","Carpentry & Woodworking, Mechanical Tools, Plumbing & Drain Cleaning","2016-06-28T12:43:00.000"
"1020","Pliers, Cutters, and Snips","Garden Shears/Clippers","Gardening & Digging","2016-06-28T12:52:54.000"
"1021","Wheelbarrow","Wheelbarrow","Carpentry & Woodworking, Gardening & Digging","2016-06-28T13:16:44.000"
"1022","Wheelbarrow","Wheelbarrow","Carpentry & Woodworking, Gardening & Digging","2016-06-28T13:18:03.000"
"1023","Wheelbarrow","Wheelbarrow","Carpentry & Woodworking, Gardening & Digging","2016-06-28T13:22:07.000"
"1024","Pitchfork","Pitchfork","Gardening & Digging","2016-06-28T13:23:56.000"
"1025","Trowel","Hand Trowel","Gardening & Digging","2016-06-28T13:30:37.000"
"1026","Trowel","Hand Trowel","Gardening & Digging","2016-06-28T13:31:07.000"
"1027","Trowel","Hand Trowel","Gardening & Digging","2016-06-28T13:31:22.000"
"1028","Trowel","Hand Trowel","Gardening & Digging","2016-06-28T13:31:31.000"
"1029","Trowel","Hand Trowel","Gardening & Digging","2016-06-28T13:32:06.000"
"1030","Cultivators","3-Tine Hand Cultivator","Gardening & Digging","2016-06-28T13:51:51.000"
"1031","Wooden Leaf Rake","16 1/2"" Shrub Rake Wooden Handle","Gardening & Digging","2016-06-28T13:52:15.000"
"1032","Cultivators","3-Tine Hand Cultivator","Gardening & Digging","2016-06-28T13:53:17.000"
"1033","Cultivators","3-Tine Hand Cultivator","Gardening & Digging","2016-06-28T13:53:48.000"
"1034","Cultivators","3-Tine Hand Cultivator",,"2016-06-28T13:55:22.000"
"1035","Electric Concrete Stirrers","Electric Concrete Mixer","Concrete & Masonry, Floor & Wall","2016-06-29T16:05:35.000"
"1036","Levels","Laser LevelPro","Carpentry & Woodworking, Concrete & Masonry, Floor & Wall","2016-06-29T16:29:10.000"
"1037","Metal Garden Rake","Bow Rake","Gardening & Digging","2016-06-29T16:34:30.000"
"1038","Metal Garden Rake","Bow Rake","Gardening & Digging","2016-06-29T16:35:01.000"
"1039","Metal Garden Rake","Bow Head Rake - 14 in","Gardening & Digging","2016-06-29T16:35:21.000"
"1040","Metal Garden Rake","Bow Rake","Gardening & Digging","2016-06-29T16:35:26.000"
"1041","Spade Shovel","Spade Shovel","Gardening & Digging","2016-06-29T16:42:42.000"
"1042","Spade Shovel","Spade Shovel","Gardening & Digging","2016-06-29T16:43:46.000"
"1043","Spade Shovel","Spade Shovel","Gardening & Digging","2016-06-29T16:43:55.000"
"1044","Spade Shovel","Spade Shovel","Gardening & Digging","2016-06-29T16:44:08.000"
"1045","Spade Shovel","Spade Shovel","Gardening & Digging","2016-06-29T16:44:13.000"
"1046","Spade Shovel","Spade Shovel","Gardening & Digging","2016-06-29T16:44:23.000"
"1047","Hoes","Hoe","Gardening & Digging","2016-06-29T16:44:29.000"
"1048","Spade Shovel","Spade Shovel","Gardening & Digging","2016-06-29T16:44:37.000"
"1049","Spade Shovel","Spade Shovel","Gardening & Digging","2016-06-29T16:44:56.000"
"1050","Wooden Leaf Rake","Wooden Leaf Rake","Gardening & Digging","2016-06-29T16:52:38.000"
"1051","Paint Roller Frame","Heavy Duty Roller Frame - 9 in","Floor & Wall","2016-06-29T16:57:08.000"
"1052","Paint Roller Frame","Crowbar","Floor & Wall","2016-06-29T16:57:21.000"
"1053","Crowbar","Ames True Temper Crowbar","Concrete & Masonry, Floor & Wall","2016-06-29T17:00:27.000"
"1054","Square Shovel","Ames True Temper Scoop","Gardening & Digging","2016-06-29T17:05:34.000"
"1055","Step Ladders","6 ft. Fiberglass Step Ladder","Ladders","2016-07-12T15:44:06.000"
"1057","Hanging Lights","DeWalt Flex Floodlight","Electrical","2016-07-12T16:02:29.000"
"1058","Grass Shear","Ace 8"" Carbon Steel Anvil Pruning Shear","Gardening & Digging","2016-07-12T16:23:17.000"
"1059","Corner Trowel","Inside Drywall Corner Trowel","Concrete & Masonry, Floor & Wall","2016-07-13T14:56:35.000"
"1060","Smoothing Brush","Hyde Vinyl Smoothing Brush","Floor & Wall","2016-07-13T15:05:48.000"
"1061","Hand Axe","Stanley Jobmaster Axe","Carpentry & Woodworking","2016-07-13T15:29:28.000"
"1062","Crescent Wrench","Craftsman Evolv 3 pc. Adjustable Wrench Set","Mechanical Tools, Plumbing & Drain Cleaning","2016-07-13T15:40:30.000"
"1063","Claw Hammers","Claw Hammer w/ Steel Handle","Carpentry & Woodworking, Floor & Wall, Mechanical Tools","2016-07-13T15:48:01.000"
"1064","Pipe Cutters","Pipe Cutter","Mechanical Tools","2016-07-13T15:53:37.000"
"1065","Manual Mutt Scraper","Manual Mutt Scraper","Floor & Wall","2016-07-13T16:07:41.000"
"1066","Bucket Scoops","Wallboard Bucket Scoop","Floor & Wall","2016-07-13T16:12:50.000"
"1067","Hoes","Hoe","Gardening & Digging","2016-07-13T16:33:01.000"
"1068","Files","File Rasp","Carpentry & Woodworking, Floor & Wall, Gardening & Digging","2016-07-13T16:56:15.000"
"1069","Caulk Guns","Caulk Gun","Floor & Wall","2016-07-13T17:03:14.000"
"1070","Paint Scraper",,"Carpentry & Woodworking, Floor & Wall","2016-07-13T17:39:04.000"
