"tool_type","loans","completed_loans","total_daysout","avg_loan_length"
"Tools","148","148","1167","7.89"
"Hand Tools","288","288","2106","7.32"
"Power Tools","90","90","653","7.26"
"Shovels & Digging","9","9","57","6.34"
"Axes","239","239","2117","8.86"
"Saws","40","40","272","6.8"
"Wrenches","15","15","92","6.14"
"Measuring & Layout Tools","10","10","51","5.1"
"Scrapers","20","20","129","6.45"
"Planes","40","40","246","6.15"
"Chisels & Gouges","13","13","94","7.24"
"Drills","95","95","964","10.15"
"Bits, Drivers and Accessories","12","12","63","5.25"
"Hammers & Mallets","69","69","741","10.74"
"Ladders","28","28","391","13.97"
"Pliers, Cutters, and Snips","132","132","937","7.1"
"Buckets","39","39","299","7.67"
"Brushes and Rollers","141","141","1287","9.13"
"Sanders","51","51","542","10.63"
"Strippers","3","3","21","7"
"Crimpers","8","8","55","6.88"
"Corded & Plug-in","60","60","331","5.52"
"Cordless Drills","143","143","1349","9.44"
"Cordless Trimmers","390","390","2595","6.66"
"Cordless Saws","3","3","23","7.67"
"Power Drills","11","11","58","5.28"
"Power Saws","10","10","73","7.3"
"Spade Shovel","290","289","1869","6.47"
"Square Shovel","289","289","2150","7.44"
"Step Ladders","94","94","751","7.99"
"Trimmers","3","3","20","6.67"
"Metal Garden Rake","531","531","4594","8.66"
"Wooden Leaf Rake","63","63","1813","28.78"
"Extension Cords","602","602","3954","6.57"
"Chainsaws","159","159","970","6.11"
"Electric Chippers","23","23","180","7.83"
"Weeders","115","115","997","8.67"
"Hoes","249","248","1763","7.11"
"Push Brooms","114","114","888","7.79"
"Circular Saws","99","98","809","8.26"
"Worm Drive Circular Saws","64","64","685","10.71"
"Grinders","18","18","131","7.28"
"Levels","94","94","1029","10.95"
"Tape Measures","35","35","476","13.6"
"Saw Horses","63","63","382","6.07"
"Buffers","24","24","343","14.3"
"Slip Joint Pliers","7","7","54","7.72"
"Drywall Tool Sets","8","8","49","6.13"
"Scroller Power Saws","9","9","47","5.23"
"Sharp Bristle Brushes","16","15","103","6.87"
"Post Hole Digger","126","126","951","7.55"
"Sanders & Planers","62","62","530","8.55"
"Random Orbit Sander","261","261","2936","11.25"
"Finishing Power Sanders","3","3","17","5.67"
"Belt Sanders","34","34","180","5.3"
"Torque Wrench","18","18","124","6.89"
"Tap and Die","12","12","86","7.17"
"Hand Shovel","155","155","1061","6.85"
"Pitchfork","5","5","30","6"
"Hand Truck","58","58","360","6.21"
"Staple Guns","18","18","137","7.62"
"C-Clamps","10","10","63","6.3"
"Tin Snips","4","4","35","8.75"
"Tube Cutters","19","19","146","7.69"
"Pipe Cutters","8","8","60","7.5"
"Rubber Mallets","45","45","372","8.27"
"Crowbars","27","27","148","5.49"
"Lawn Mower","129","129","1240","9.62"
"Shears","163","162","1440","8.89"
"Reciprocating Saw","133","133","698","5.25"
"Notched Trowel","26","26","194","7.47"
"Chalklines","33","33","191","5.79"
"Pipe Wrenches","41","41","281","6.86"
"Caulk Guns","22","22","136","6.19"
"Conduit Benders","9","9","52","5.78"
"Socket Sets","8","8","58","7.25"
"Crow Bar with Chisel Ends","1","1","7","7"
"Loppers","206","206","2427","11.79"
"Wire Cutters","14","14","87","6.22"
"Needle Nose Pliers","10","9","55","6.12"
"Squares","91","91","597","6.57"
"Hand Miter Saws","4","3","11","3.67"
"Rivet Tools","2","2","14","7"
"Cordless Circular Saw","3","3","19","6.34"
"Hatchet","25","25","151","6.04"
"Bow Saws","6","6","39","6.5"
"Sledgehammers","76","76","513","6.75"
"Wet-Dry Vac","44","44","239","5.44"
"Paint Sprayer","21","21","142","6.77"
"Corded Miter Saws","111","111","1142","10.29"
"Jig Saws","92","92","788","8.57"
"Rulers","37","37","226","6.11"
"Stud finder","70","70","725","10.36"
"Hack Saws","14","14","83","5.93"
"Dollies","62","61","427","7"
"Files","23","23","169","7.35"
"Routers","26","26","182","7"
"Lawn Care (other)","44","44","275","6.25"
"Cultivators","90","90","576","6.4"
"Coping Saw","1","1","7","7"
"Pressure Washers","127","127","929","7.32"
"Multimeters","8","8","47","5.88"
"Hand Axe","33","33","230","6.97"
"Smoothing Brush","1","1","5","5"
"Chargers","103","103","723","7.02"
"Cement Chisel","9","9","102","11.34"
"Cold Chisel","5","5","29","5.8"
"Wood Chisel","87","87","610","7.02"
"Corner Clamp","26","26","167","6.43"
"Quick Grip Clamp","179","179","1169","6.54"
"Wood Clamp","15","15","110","7.34"
"Extension Ladder","61","61","411","6.74"
"Electric Leaf Blower","225","225","2280","10.14"
"Maul","17","17","120","7.06"
"Trowel","97","96","696","7.25"
"Brick Trowel","29","29","222","7.66"
"Corner Trowel","2","2","14","7"
"Paint Roller Frame","113","113","690","6.11"
"Ball Peen Hammers","9","9","93","10.34"
"Claw Hammers","51","51","328","6.44"
"Electric Hedge Trimmers","294","294","1903","6.48"
"Electric Lawn Edger","81","81","433","5.35"
"Electric String Trimmer","107","107","887","8.29"
"Putty Knife","28","27","173","6.41"
"Utility Knives","18","18","143","7.95"
"Lineman Plier","7","7","50","7.15"
"Power Drill 1/2in","80","80","739","9.24"
"Power Drill 3/8in","18","18","160","8.89"
"Hammer Drills","57","57","337","5.92"
"Table Saws","110","110","815","7.41"
"Wet Tile Saws","45","45","457","10.16"
"Hand Pruner","55","55","2428","44.15"
"Pruning Saw","62","62","598","9.65"
"Telescopic Pruner","121","121","967","8"
"Nail Puller","19","19","135","7.11"
"Pry Bar","12","12","81","6.75"
